facilityName,city,region,Country,sector_en,activity_en,cost_2021
CITRIQUE BELGE,Tienen,Brabant flamand,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate",2132632
OEUFONTAINE SPRL,Leernes,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1973775
Prince Minerals,,Hainaut,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate",1765120
HANAVI SA,Thisnes,Liège,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1746825
SEGERS EN BALCAEN,Liedekerke,Brabant flamand,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",1606946
CONFIDENTIAL,Hoogstraten,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1595525
CONFIDENTIAL,Ardooie,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1526753
CONFIDENTIAL,Pittem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1526753
VCENERGY,Deinze,Flandre orientale,Belgium,Waste and wastewater management,Installations for the disposal of non-hazardous waste,1511395
URSA BENELUX,Waregem,Flandre-Occidentale,Belgium,Mineral industry,"Installations for the manufacture of glass, including glass fibre",1504047
JANSSEN PHARMACEUTICA,Geel,Anvers,Belgium,Chemical industry,Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products,1485667
FERME DU MOULIN DE CAUMONT SCRL,Pipaix,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1437348
FLUXYS - OPSLAGSTATION LOENHOUT,Wuustwezel,Anvers,Belgium,Energy sector,Thermal power stations and other combustion installations,1392039
TotalEnergies Polymers Antwerp,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",1354282
THILBERT SPRL,Sainte-Marie-Chevigny,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1299803
CONFIDENTIAL,Hoogstraten,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1286048
VOLVO CAR BELGIUM,Gent,Flandre orientale,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",1258269
CONFIDENTIAL,Heuvelland,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1203521
CONFIDENTIAL,Torhout,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1176012
CARGILL,Antwerpen,Anvers,Belgium,Animal and vegetable products from the food and beverage sector,Treatment and processing intended for the production of food and beverage products from vegetable raw materials,1142044
KINET STEPHANE ET FREDERIC GR,Aye,Luxembourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1114117
FLUXYS - COMPRESSIESTATION WINKSELE,Herent,Brabant flamand,Belgium,Energy sector,Thermal power stations and other combustion installations,1100513
CONFIDENTIAL,Arendonk,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1079730
INTRADEL - CET de Hallembaye-Oupeye,Oupeye,Région wallonne,Belgium,Waste and wastewater management,"Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)",1071360
CONFIDENTIAL,Hooglede,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1065976
CONFIDENTIAL,Oud-Turnhout,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",1045344
CONFIDENTIAL,Lo-Reninge,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,Installations for the intensive rearing of pigs with 750 places for sows,1031590
CONFIDENTIAL,Wuustwezel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",1017835
AGRIPORCS SCRL,Celles,Liège,Belgium,Intensive livestock production and aquaculture,Installations for the intensive rearing of pigs with 750 places for sows,1017835
VERSTRAETE CARLOS-GHEKIERE HILDE EP.,Ploegsteert,Hainaut,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",997203
CONFIDENTIAL,Oostkamp,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",997203
CONFIDENTIAL,Geel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",997203
CONFIDENTIAL,Zedelgem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",990326
CATOULE SPRL,Ligney,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",969694
CONFIDENTIAL,Torhout,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",969694
CONFIDENTIAL,Lichtervelde,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",962817
LAMBORAY JOSE ET JOHAN GR PP,Nassogne,Luxembourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",955940
RECTICEL,Wevelgem,Flandre-Occidentale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",955072
CONFIDENTIAL,Pittem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",949062
VISKO TEEPAK,Lommel,Limbourg,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",930214
CONFIDENTIAL,Wingene,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",928431
CONFIDENTIAL,Hoogstraten,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",921553
CONFIDENTIAL,Lo-Reninge,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",907799
TAVEIRNE SA (PLOEGSTEERT),Ploegsteert,Hainaut,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",894044
TAVEIRNE SA (COMINES),Comines,Hainaut,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",894044
CONFIDENTIAL,Ravels,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",887167
VOLAILLE DE L'ABBAYE SPRL,Donceel,Liège,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",880290
